regparam 2**15, cindex 0.565452
regparam 2**16, cindex 0.568766
regparam 2**17, cindex 0.573612
regparam 2**18, cindex 0.579559
regparam 2**19, cindex 0.585241
regparam 2**20, cindex 0.588507
regparam 2**21, cindex 0.590205
regparam 2**22, cindex 0.593595
regparam 2**23, cindex 0.600126
regparam 2**24, cindex 0.610286
regparam 2**25, cindex 0.622301
regparam 2**26, cindex 0.633359
regparam 2**27, cindex 0.643321
regparam 2**28, cindex 0.653964
regparam 2**29, cindex 0.665960
regparam 2**30, cindex 0.677539
regparam 2**31, cindex 0.685681
regparam 2**32, cindex 0.687180
regparam 2**33, cindex 0.681317
regparam 2**34, cindex 0.669595
