regparam 2**15, cindex 0.701616
regparam 2**16, cindex 0.719695
regparam 2**17, cindex 0.742733
regparam 2**18, cindex 0.771481
regparam 2**19, cindex 0.803546
regparam 2**20, cindex 0.835486
regparam 2**21, cindex 0.853427
regparam 2**22, cindex 0.858628
regparam 2**23, cindex 0.860152
regparam 2**24, cindex 0.860020
regparam 2**25, cindex 0.858415
regparam 2**26, cindex 0.855578
regparam 2**27, cindex 0.851229
regparam 2**28, cindex 0.844872
regparam 2**29, cindex 0.836173
regparam 2**30, cindex 0.824684
regparam 2**31, cindex 0.809855
regparam 2**32, cindex 0.791903
regparam 2**33, cindex 0.770734
regparam 2**34, cindex 0.745637
