regparam 2**15, cindex 0.866841
regparam 2**16, cindex 0.875637
regparam 2**17, cindex 0.882923
regparam 2**18, cindex 0.888907
regparam 2**19, cindex 0.893437
regparam 2**20, cindex 0.896402
regparam 2**21, cindex 0.897650
regparam 2**22, cindex 0.897185
regparam 2**23, cindex 0.894893
regparam 2**24, cindex 0.890913
regparam 2**25, cindex 0.885419
regparam 2**26, cindex 0.878818
regparam 2**27, cindex 0.871421
regparam 2**28, cindex 0.863367
regparam 2**29, cindex 0.854289
regparam 2**30, cindex 0.843720
regparam 2**31, cindex 0.831136
regparam 2**32, cindex 0.816192
regparam 2**33, cindex 0.798639
regparam 2**34, cindex 0.777252
